case,expectancy,age,transition,s,delta,cc
1,h,98,HH,0.013476817723000691,-0.08151787921443054,-0.0010986015993384671
1,h,99,HH,0.008062308099877333,-0.0932557358630301,-7.518564746085287e-4
1,h,100,HH,0.004682334661192228,-0.10493247671112116,-4.913289727892289e-4
1,h,101,HH,0.0026424852602897867,-0.11623189572876602,-3.071410712388036e-4
1,h,102,HH,0.0014515755262226881,-0.1268023586677698,-1.8406320050944598e-4
1,h,103,HH,7.77958659224276e-4,-0.13627050009695219,-1.0601281554724649e-4
1,h,104,HH,4.079108561288283e-4,-0.1442600010494157,-5.884522053321282e-5
1,h,105,HH,2.0984513666493453e-4,-0.15041487341510656,-3.1563829668231865e-5
1,h,106,HH,1.0617350124563712e-4,-0.15442586427789007,-1.639593469326715e-5
1,h,107,HH,5.2911772175879304e-5,-0.15605772138982058,-8.257290600465033e-6
1,h,108,HH,2.5953843239736514e-5,-0.15517429329923904,-4.027369283125346e-6
1,h,109,HH,1.241174903675645e-5,-0.15175798446944977,-1.8835820175587935e-6
1,h,110,HH,5.341682384694766e-6,-0.14592016140626338,-7.79459155755654e-7
1,h,50,HU,18.401526107753032,-0.0023975583854075797,-0.044118733223939784
1,h,51,HU,17.39091229895308,-0.0025464802532163596,-0.04428561475470154
1,h,52,HU,16.39580382159998,-0.0026986491692760697,-0.044246522362774196
1,h,53,HU,15.4203974207895,-0.0028530082062204103,-0.043994520384692495
1,h,54,HU,14.467571931475959,-0.00300824018584606,-0.04352193127588448
1,h,55,HU,13.539499096576238,-0.0031627255065065,-0.04282171913806338
1,h,56,HU,12.637950962766759,-0.0033144943080621993,-0.04188841653165962
1,h,57,HU,11.764452863912068,-0.0034611723457061505,-0.040718798914935975
1,h,58,HU,10.920356948931461,-0.0035999199002767993,-0.0393124102985844
1,h,59,HU,10.106874516474457,-0.003727363013389319,-0.03767199025367395
1,h,60,HU,9.325086998045617,-0.0038395163039031694,-0.03580382356431161
1,h,61,HU,8.575946063387097,-0.00393169660191048,-0.0337180179955866
1,h,62,HU,7.860268493166448,-0.00399842663279331,-0.03142870688398287
1,h,63,HU,7.1787289367961575,-0.0040333280036738695,-0.028954168451563886
1,h,64,HU,6.531852325175834,-0.00402900279634681,-0.026316851283457846
1,h,65,HU,5.920006970179745,-0.003976903165372071,-0.02354329445873255
1,h,66,HU,5.343398963514776,-0.0038671884910216996,-0.02066393097464162
1,h,67,HU,4.802068236995889,-0.0036885698611159173,-0.017712764170005085
1,h,68,HU,4.295886486672343,-0.00342814197429462,-0.014726908781766503
1,h,69,HU,3.8245570545141163,-0.0030712029953933184,-0.0117459910818764
1,h,70,HU,3.387616783066543,-0.0026010634820811014,-0.008811406305719442
1,h,71,HU,2.9844398003612387,-0.0019988462775051598,-0.005965436385390304
1,h,72,HU,2.6142431494522365,-0.0012432802696569004,-0.003250236927799681
1,h,73,HU,2.2760941468362916,-3.104922047004119e-4,-7.067094897569032e-4
1,h,74,HU,1.9689193354447319,8.261976344240765e-4,0.0016267164973162622
1,h,75,HU,1.6915148898847745,0.00219646804815795,0.00371535840861532
1,h,76,HU,1.4425583330004825,0.003833167510777502,0.005529567734458803
1,h,77,HU,1.220621431986518,0.005772449374235655,0.007045975421249206
1,h,78,HU,1.0241841569511514,0.008053854700854124,0.00824863038700135
1,h,79,HU,0.8516496019920202,0.010720321463940814,0.009129957507991705
1,h,80,HU,0.7013597847897031,0.01381809390749257,0.009691455369162896
1,h,81,HU,0.5716122510656827,0.01739650025947663,0.009944052673984169
1,h,82,HU,0.46067741018682806,0.021507560842000173,0.009908047428128276
1,h,83,HU,0.36681651287151457,0.026205382116289172,0.009612566886362745
1,h,84,HU,0.28830014704456336,0.03154528569194007,0.009094510503549083
1,h,85,HU,0.223427070442107,0.03758261537585082,0.008396973652978834
1,h,86,HU,0.1705431180327681,0.04437116076594512,0.007567196107757507
1,h,87,HU,0.12805982174209665,0.05196113388191173,0.0066541335424348345
1,h,88,HU,0.09447226713069734,0.06039663745922784,0.005705807267844054
1,h,89,HU,0.0683755999182285,0.06971257187628377,0.004766638923883527
1,h,90,HU,0.048479503475696274,0.07993094479293653,0.0038750125159048533
1,h,91,HU,0.03361991986039125,0.09105657644853726,0.003061314802961412
1,h,92,HU,0.022767306222188855,0.10307223746331712,0.002346677193333507
1,h,93,HU,0.015030826528865652,0.1159333180876436,0.0017425735930911735
1,h,94,HU,0.009658086714994539,0.12956221063212825,0.0012513230652714822
1,h,95,HU,0.00603032415608865,0.14384269114191064,8.674180550698626e-4
